file_id,species,sex,analysis,phenotype,binary,status
15-1,hybrid,M,limenitis_resequencing,weak_orange,1,F2
15-2,hybrid,M,limenitis_resequencing,black,0,F2
15-3,hybrid,M,limenitis_resequencing,weak_orange,1,F2
15-4,hybrid,F,limenitis_resequencing,weak_orange,1,F2
15-5,hybrid,M,limenitis_resequencing,weak_orange,1,F2
19-1,hybrid,M,limenitis_resequencing,weak_orange,1,F2
19-10,hybrid,F,limenitis_resequencing,orange,1,F2
19-11,hybrid,F,limenitis_resequencing,orange,1,F2
19-12,hybrid,F,limenitis_resequencing,orange,1,F2
19-13,hybrid,F,limenitis_resequencing,weak_orange,1,F2
19-14,hybrid,F,limenitis_resequencing,orange,1,F2
19-15,hybrid,F,limenitis_resequencing,weak_orange,1,F2
19-16,hybrid,M,limenitis_resequencing,weak_orange,1,F2
19-18,hybrid,F,limenitis_resequencing,weak_orange,1,F2
19-2,hybrid,M,limenitis_resequencing,orange,1,F2
19-20,hybrid,F,limenitis_resequencing,black,0,F2
19-21,hybrid,F,limenitis_resequencing,orange,1,F2
19-23,hybrid,F,limenitis_resequencing,black,0,F2
19-3,hybrid,M,limenitis_resequencing,black,0,F2
19-5,hybrid,F,limenitis_resequencing,weak_orange,1,F2
19-6,hybrid,M,limenitis_resequencing,weak_orange,1,F2
19-7,hybrid,M,limenitis_resequencing,weak_orange,1,F2
19-8,hybrid,F,limenitis_resequencing,black,0,F2
19-9,hybrid,F,limenitis_resequencing,weak_orange,1,F2
20-1,hybrid,M,limenitis_resequencing,orange,1,F2
20-5,hybrid,M,limenitis_resequencing,black,0,F2
2749-3-10-1,hybrid,M,limenitis_resequencing,weak_orange,1,F2
2749-3-10-10,hybrid,F,limenitis_resequencing,weak_orange,1,F2
2749-3-10-2,hybrid,M,limenitis_resequencing,black,0,F2
2749-3-10-3,hybrid,M,limenitis_resequencing,black,0,F2
2749-3-10-4,hybrid,M,limenitis_resequencing,black,0,F2
2749-3-10-5,hybrid,M,limenitis_resequencing,weak_orange,1,F2
2749-3-10-6,hybrid,M,limenitis_resequencing,black,0,F2
2749-3-10-7,hybrid,M,limenitis_resequencing,weak_orange,1,F2
2749-3-10-8,hybrid,F,limenitis_resequencing,black,0,F2
2749-3-10-9,hybrid,F,limenitis_resequencing,weak_orange,1,F2
BCB2-1,hybrid,NA,limenitis_resequencing,black,0,BC
BCB2-2,hybrid,NA,limenitis_resequencing,black,0,BC
BCB2-5,hybrid,NA,limenitis_resequencing,black,0,BC
BCB2-7,hybrid,NA,limenitis_resequencing,black,0,BC
BCB2-9,hybrid,NA,limenitis_resequencing,orange,1,BC
BCB4-10,hybrid,NA,limenitis_resequencing,black,0,BC
BCB4-11,hybrid,NA,limenitis_resequencing,black,0,BC
BCB4-12,hybrid,NA,limenitis_resequencing,orange,1,BC
BCB4-13,hybrid,NA,limenitis_resequencing,black,0,BC
BCB4-14,hybrid,NA,limenitis_resequencing,black,0,BC
BCB4-16,hybrid,NA,limenitis_resequencing,weak_orange,1,BC
BCB4-17,hybrid,NA,limenitis_resequencing,weak_orange,1,BC
BCB4-19,hybrid,NA,limenitis_resequencing,orange,1,BC
BCB4-2,hybrid,M,limenitis_resequencing,weak_orange,1,BC
BCB4-20,hybrid,NA,limenitis_resequencing,black,0,BC
BCB4-21,hybrid,M,limenitis_resequencing,weak_orange,1,BC
BCB4-23,hybrid,NA,limenitis_resequencing,black,0,BC
BCB4-24,hybrid,M,limenitis_resequencing,black,0,BC
BCB4-25,hybrid,F,limenitis_resequencing,orange,1,BC
BCB4-26,hybrid,M,limenitis_resequencing,black,0,BC
BCB4-27,hybrid,F,limenitis_resequencing,black,0,BC
BCB4-28,hybrid,F,limenitis_resequencing,orange,1,BC
BCB4-29,hybrid,F,limenitis_resequencing,black,0,BC
BCB4-3,hybrid,NA,limenitis_resequencing,black,0,BC
BCB4-30,hybrid,M,limenitis_resequencing,weak_orange,1,BC
BCB4-31,hybrid,F,limenitis_resequencing,weak_orange,1,BC
BCB4-32,hybrid,F,limenitis_resequencing,weak_orange,1,BC
BCB4-4,hybrid,NA,limenitis_resequencing,weak_orange,1,BC
BCB4-5,hybrid,NA,limenitis_resequencing,orange,1,BC
BCB4-6,hybrid,NA,limenitis_resequencing,weak_orange,1,BC
BCB4-7,hybrid,NA,limenitis_resequencing,orange,1,BC
BCB4-8,hybrid,NA,limenitis_resequencing,weak_orange,1,BC
BCB4-9,hybrid,NA,limenitis_resequencing,orange,1,BC
F2_HSC_7-1,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-10,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-11,hybrid,M,limenitis_resequencing,black,0,F2
F2_HSC_7-12,hybrid,F?,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-13,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-19,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-2,hybrid,M,limenitis_resequencing,black,0,F2
F2_HSC_7-22,hybrid,NA,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-23,hybrid,F,limenitis_resequencing,orange,1,F2
F2_HSC_7-24,hybrid,F,limenitis_resequencing,black,0,F2
F2_HSC_7-27,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-29,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-3,hybrid,M,limenitis_resequencing,strong_orange,1,F2
F2_HSC_7-36,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-37,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-5,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-6,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-7,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-8,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_7-9,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_8-12,hybrid,M,limenitis_resequencing,black,0,F2
F2_HSC_8-14,hybrid,F,limenitis_resequencing,black,0,F2
F2_HSC_8-2,hybrid,F,limenitis_resequencing,black,0,F2
F2_HSC_8-3,hybrid,M,limenitis_resequencing,black,0,F2
F2_HSC_8-5,hybrid,M,limenitis_resequencing,black,0,F2
F2_HSC_8-6,hybrid,M,limenitis_resequencing,weak_orange,1,F2
F2_HSC_8-7,hybrid,M,limenitis_resequencing,black,0,F2
LIB035248_GEN00127679,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127680,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127681,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127682,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127683,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127684,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127685,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127686,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127687,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127688,lorquini,NA,genomic_cline,orange,1,pure
LIB035248_GEN00127689,hybrid,NA,genomic_cline,strong_orange,1,cline
LIB035248_GEN00127690,hybrid,NA,genomic_cline,strong_orange,1,cline
LIB035248_GEN00127691,hybrid,NA,genomic_cline,strong_orange,1,cline
LIB035248_GEN00127692,hybrid,NA,genomic_cline,strong_orange,1,cline
LIB035248_GEN00127693,hybrid,NA,genomic_cline,intermediate_orange,1,cline
LIB035248_GEN00127694,hybrid,NA,genomic_cline,intermediate_orange,1,cline
LIB035248_GEN00127695,hybrid,NA,genomic_cline,intermediate_orange,1,cline
LIB035248_GEN00127696,hybrid,NA,genomic_cline,intermediate_orange,1,cline
LIB035248_GEN00127697,hybrid,NA,genomic_cline,weak_orange,1,cline
LIB035248_GEN00127698,hybrid,NA,genomic_cline,weak_orange,1,cline
LIB035248_GEN00127699,hybrid,NA,genomic_cline,weak_orange,1,cline
LIB035248_GEN00127700,hybrid,NA,genomic_cline,weak_orange,1,cline
LIB035248_GEN00127701,weidemeyerii,NA,genomic_cline,black,0,pure
LIB035248_GEN00127702,weidemeyerii,NA,genomic_cline,black,0,pure
LIB035248_GEN00127703,weidemeyerii,NA,genomic_cline,black,0,pure
LIB035248_GEN00127704,weidemeyerii,NA,genomic_cline,black,0,pure
LIB035248_GEN00127705,weidemeyerii,NA,genomic_cline,black,0,pure
LIB035248_GEN00127706,weidemeyerii,NA,genomic_cline,black,0,pure
LIB035248_GEN00127707,weidemeyerii,NA,genomic_cline,black,0,pure
LIB035248_GEN00127708,weidemeyerii,NA,genomic_cline,black,0,pure
LIB035248_GEN00127709,weidemeyerii,NA,genomic_cline,black,0,pure
LIB035248_GEN00127710,weidemeyerii,NA,genomic_cline,black,0,pure
RIH_2088,lorquini,M,dana_cohen,orange,1,pure
RIH_2089,lorquini,M,dana_cohen,orange,1,pure
RIH_2090,lorquini,M,dana_cohen,orange,1,pure
RIH_2091,lorquini,M,dana_cohen,orange,1,pure
RIH_2092,lorquini,M,dana_cohen,orange,1,pure
RIH_2093,lorquini,M,dana_cohen,orange,1,pure
RIH_2094,lorquini,M,dana_cohen,orange,1,pure
RIH_2095,lorquini,F,dana_cohen,orange,1,pure
RIH_2106,weidemeyerii,M,dana_cohen,black,0,pure
RIH_2107,weidemeyerii,M,dana_cohen,black,0,pure
RIH_2108,weidemeyerii,M,dana_cohen,black,0,pure
RIH_2109,weidemeyerii,M,dana_cohen,black,0,pure
RIH_2110,weidemeyerii,F,dana_cohen,black,0,pure
RIH_2113,weidemeyerii,M,dana_cohen,black,0,pure
RIH_2114,weidemeyerii,M,dana_cohen,black,0,pure
RIH_2115,weidemeyerii,M,dana_cohen,black,0,pure
RIH_2125,weidemeyerii,F,dana_cohen,black,0,pure
RIH_2214,weidemeyerii,F,dana_cohen,black,0,pure
RIH_2287,lorquini,F,dana_cohen,orange,1,pure
RIH_2399,lorquini,F,dana_cohen,orange,1,pure
