bam,file_id,species,sex,analysis,phenotype,binary
15-1_S1_sliding_window_trim_minq20_sorted.dedup.bam,15-1,hybrid,M,limenitis_resequencing,weak_orange,1
15-2_S2_sliding_window_trim_minq20_sorted.dedup.bam,15-2,hybrid,M,limenitis_resequencing,black,0
15-3_S3_sliding_window_trim_minq20_sorted.dedup.bam,15-3,hybrid,M,limenitis_resequencing,weak_orange,1
15-4_S4_sliding_window_trim_minq20_sorted.dedup.bam,15-4,hybrid,F,limenitis_resequencing,weak_orange,1
15-5_S5_sliding_window_trim_minq20_sorted.dedup.bam,15-5,hybrid,M,limenitis_resequencing,weak_orange,1
19-10_S14_sliding_window_trim_minq20_sorted.dedup.bam,19-10,hybrid,F,limenitis_resequencing,orange,1
19-11_S15_sliding_window_trim_minq20_sorted.dedup.bam,19-11,hybrid,F,limenitis_resequencing,orange,1
19-12_S16_sliding_window_trim_minq20_sorted.dedup.bam,19-12,hybrid,F,limenitis_resequencing,orange,1
19-13_S17_sliding_window_trim_minq20_sorted.dedup.bam,19-13,hybrid,F,limenitis_resequencing,orange,1
19-14_S18_sliding_window_trim_minq20_sorted.dedup.bam,19-14,hybrid,F,limenitis_resequencing,orange,1
19-15_S19_sliding_window_trim_minq20_sorted.dedup.bam,19-15,hybrid,F,limenitis_resequencing,orange,1
19-16_S20_sliding_window_trim_minq20_sorted.dedup.bam,19-16,hybrid,M,limenitis_resequencing,orange,1
19-18_S21_sliding_window_trim_minq20_sorted.dedup.bam,19-18,hybrid,F,limenitis_resequencing,orange,1
19-1_S6_sliding_window_trim_minq20_sorted.dedup.bam,19-1,hybrid,M,limenitis_resequencing,orange,1
19-20_S22_sliding_window_trim_minq20_sorted.dedup.bam,19-20,hybrid,F,limenitis_resequencing,black,0
19-21_S23_sliding_window_trim_minq20_sorted.dedup.bam,19-21,hybrid,F,limenitis_resequencing,orange,1
19-23_S24_sliding_window_trim_minq20_sorted.dedup.bam,19-23,hybrid,F,limenitis_resequencing,black,0
19-2_S7_sliding_window_trim_minq20_sorted.dedup.bam,19-2,hybrid,M,limenitis_resequencing,orange,1
19-3_S8_sliding_window_trim_minq20_sorted.dedup.bam,19-3,hybrid,M,limenitis_resequencing,black,0
19-5_S9_sliding_window_trim_minq20_sorted.dedup.bam,19-5,hybrid,F,limenitis_resequencing,weak_orange,1
19-6_S10_sliding_window_trim_minq20_sorted.dedup.bam,19-6,hybrid,M,limenitis_resequencing,weak_orange,1
19-7_S11_sliding_window_trim_minq20_sorted.dedup.bam,19-7,hybrid,M,limenitis_resequencing,weak_orange,1
19-8_S12_sliding_window_trim_minq20_sorted.dedup.bam,19-8,hybrid,F,limenitis_resequencing,black,0
19-9_S13_sliding_window_trim_minq20_sorted.dedup.bam,19-9,hybrid,F,limenitis_resequencing,weak_orange,1
20-1_S25_sliding_window_trim_minq20_sorted.dedup.bam,20-1,hybrid,M,limenitis_resequencing,orange,1
20-5_S26_sliding_window_trim_minq20_sorted.dedup.bam,20-5,hybrid,M,limenitis_resequencing,black,0
2749-3-10-10_S36_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-10,hybrid,F,limenitis_resequencing,weak_orange,1
2749-3-10-1_S27_sliding_window_trim_minq20_sorted.dedup.bam,2749-3-10-1,hybrid,M,limenitis_resequencing,weak_orange,1
